"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","TDPG","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"1Jiang","Ultra Prime","Top",19,"37%","58%",45,61,82,2.1,"61.7%","21.8%","22.8%",,,,,7.7,,553,"25.8%",,,239,"21.5%",,0.45,0.25,0.15
"1xn","ThunderTalk Gaming","ADC",18,"39%","56%",89,41,103,4.7,"81.7%","37.9%","15.4%",,,,,9.8,,798,"33.2%",,,332,"28.4%",,0.34,0.08,0.37
"369","Top Esports","Top",23,"70%","52%",57,62,154,3.4,"54.5%","14.7%","19.1%",,,,,7.9,,574,"20.6%",,,248,"20.0%",,0.39,0.17,0.13
"Ahn","EDward Gaming","ADC",16,"81%","44%",80,31,124,6.6,"73.4%","28.8%","18.9%",,,,,8.9,,722,"27.8%",,,319,"24.5%",,0.41,0.11,0.4
"Aki","ThunderTalk Gaming","Jungle",18,"39%","61%",52,55,115,3,"71.1%","22.1%","20.6%",,,,,6.6,,313,"13.3%",,,227,"19.6%",,0.3,0.25,0.37
"Angel","EDward Gaming","Middle",16,"81%","50%",56,17,136,11.3,"69.1%","20.1%","10.4%",,,,,9.1,,712,"27.2%",,,295,"22.8%",,0.42,0.19,0.28
"Baiye","Ultra Prime","ADC",19,"37%","42%",72,50,78,3,"72.8%","35.0%","18.7%",,,,,9.2,,661,"29.2%",,,292,"26.0%",,0.44,0.1,0.24
"Bin","Bilibili Gaming","Top",21,"71%","67%",68,47,186,5.4,"57.5%","15.4%","16.2%",,,,,8.3,,603,"19.8%",,,278,"20.7%",,0.33,0.13,0.14
"Breathe","Weibo Gaming","Top",21,"43%","57%",60,57,107,2.9,"57.0%","20.5%","19.2%",,,,,7.8,,571,"21.5%",,,253,"21.6%",,0.43,0.18,0.16
"Care","FunPlus Phoenix","Middle",21,"24%","48%",57,65,107,2.5,"76.6%","26.6%","18.5%",,,,,8,,540,"24.9%",,,245,"23.4%",,0.3,0.19,0.33
